,airline,source_city,departure_time,stops,arrival_time,destination_city,class,days_left,price
635,3,2,1,0,2,5,1,5,8396
636,5,2,2,0,4,5,1,5,9000
637,5,2,0,0,4,5,1,5,9000
638,1,2,2,0,0,5,1,5,8790
639,2,2,1,0,5,5,1,5,8869
640,2,2,0,0,5,5,1,5,8892
641,1,2,1,0,5,5,1,5,9000
642,1,2,2,0,5,5,1,5,9315
643,1,2,1,0,0,5,1,5,9368
644,3,2,1,0,0,5,1,5,9373
645,3,2,4,0,2,5,1,5,9373
646,2,2,2,0,5,5,1,5,9447
647,5,2,1,0,0,5,1,5,9840
648,5,2,4,0,5,5,1,5,9840
649,5,2,5,0,4,5,1,5,9840
650,5,2,1,0,5,5,1,5,9840
651,5,2,5,0,0,5,1,5,9840
652,5,2,4,0,4,5,1,5,9840
653,5,2,5,0,5,5,1,5,9840
